date,tmax,tmin,mslp_noon,precip,cloud,wind,src_stn
2026-08-27,80.0,69.0,1016.0,,,,1
2026-08-28,82.0,68.0,1015.9,,,,1
2026-08-29,75.0,64.0,1023.8,,,,1
2026-08-30,78.0,67.0,1020.4,,,,1
2026-08-31,78.0,70.0,1019.9,,,,1
2026-09-01,81.0,68.0,1014.9,,,,1
2026-09-02,70.0,65.0,1020.6,,,,1
2026-09-03,83.0,67.0,1014.0,,,,1
2026-09-04,83.0,71.0,1011.2,,,,1
2026-09-05,77.0,69.0,1010.7,,,,1
2026-09-06,75.0,64.0,1015.2,,,,1
2026-09-07,77.0,61.0,1020.8,,,,1
2026-09-08,79.0,63.0,1023.4,,,,1
2026-09-09,81.0,69.0,1020.8,,,,1
2026-09-10,84.0,69.0,1011.1,,,,1
