date,tmax,tmin,mslp_noon,precip,cloud,wind,src_stn
2026-08-27,82.0,66.0,1015.8999999999999,,,,1
2026-08-28,83.0,67.0,1019.8999999999999,,,,1
2026-08-29,80.0,65.0,1019.2999999999998,,,,1
2026-08-30,82.0,69.0,1013.8999999999999,,,,1
2026-08-31,86.0,71.0,1012.7999999999998,,,,1
2026-09-01,94.0,77.0,1013.7000000000002,,,,1
2026-09-02,95.0,78.0,1012.7000000000002,,,,1
2026-09-03,90.0,79.0,1014.2000000000002,,,,1
2026-09-04,93.0,76.0,1014.2000000000002,,,,1
2026-09-05,80.0,72.0,1014.7999999999998,,,,1
2026-09-06,78.0,69.0,1019.0,,,,1
2026-09-07,80.0,65.0,1021.2999999999998,,,,1
2026-09-08,85.0,65.0,1020.0,,,,1
2026-09-09,79.0,71.0,1015.8999999999999,,,,1
2026-09-10,77.0,65.0,1017.0,,,,1
